"product_name","Item_ID","ebay_url","Item_Condition","Vertical","Seller_Name","Account_Manager","MSRP","list_price","%_off","Sum_of_GMV","Sum_of_Qty","Sum_of_Views/SI","Sum_of_Seller_rating","Sum_of_Buyer_Count","Sum_of_Defect_Rate","ebay_status","ebay_msrp","ebay_list_price","recal_perc_off"
"Lego 76023 DC Comics Super Heroes The Tumbler Batman Joker 1869 Pieces","271805118888","http://ebay.com/itm/271805118888","New","Collectibles","targetstores","Mary Hubbard","","199.99","",45598,,"36",,"142","0.0303","This item is out of stock.","","",""
"Smart 2wheels Electric Scooter Hover Board Unicycle Self Balancing Balance","401041944954","http://ebay.com/itm/401041944954","New","Lifestyle","soliddealio","Heath Smaellie","499.99","229.99","0.54",45308,,"70",,"169","0.0303","This listing has ended.  The seller has relisted this item or one like this. ","","",""
"Dell Inspiron 15 7559 Notebook PC - Intel Core i5-6300HQ 2.3GHz Quad-Core 8GB D","321937614341","http://ebay.com/itm/321937614341","New","Electronics","tigerdirect","David Grim","","599.99","",33599,,"42",,"15","0.0867","This listing was ended by the seller because the item is no longer available.","","",""
"Cougar SPIKE No Power Supply MicroATX Mini Tower Gaming Case Black","351630535506","http://ebay.com/itm/351630535506","New","Electronics","tigerdirect","David Grim","","13.99","",26287,,"11",,"1452","0.0867","This listing has ended. ","","",""
"Swagway X1 Self balancing 2 wheels Smart hover-board electric scooter skateboard","311521228984","http://ebay.com/itm/311521228984","New","Lifestyle","claimthis","Jana Marcy","","399.99","",24399,,"69",,"37","0.0449","Active",,399.99,
"Apple iPhone 5s a1533 16GB Smartphone for AT&T Silver Gold or Gray","231597536352","http://ebay.com/itm/231597536352","Refurbished","Electronics","certifiedusedphoneoutlet","Scott Lacharite","549","194.99","0.64",17744,,"44",,"51","0.0541","Active",549.99,199.99,
"Apple iPhone 6 Plus a1522 16GB Verizon Unlocked Gold Silver or Gray","201470862460","http://ebay.com/itm/201470862460","Refurbished","Electronics","pangea_deals","Scott Lacharite","","439.99","",14080,,"3",,"4","0.0485","This item is out of stock.","","",""
"New Premium Real Tempered Glass Film Screen Protector for Apple iPhone 6S 4.7""","141813001274","http://ebay.com/itm/141813001274","New","Electronics","valuebuybattery","Bryan Bellew","","3.99","",13909,,"9",,"3336","0.0197","Active",,3.99,
"ULTRA 2-in-1 2.5"" SATA HDD SSD Enclosure - USB 3.0 Hot Swappable Portable Dock","321801948919","http://ebay.com/itm/321801948919","New","Electronics","tigerdirect","David Grim","","3.89","",13506,,"5",,"2627","0.0867","This listing was ended by the seller because the item is no longer available.","","",""
"Sony PlayStation 4 500GB Console with Call of Duty Black Ops 3 Bundle","272077975326","http://ebay.com/itm/272077975326","New","Electronics","targetstores","Mary Hubbard","","349.99","",13300,,"339",,"38","0.0303","Active",,349.99,
"4~All Purpose Hydraulic Recline Barber Chairs Salon Beauty Spa Shampoo Equipment","400670037138","http://ebay.com/itm/400670037138","New","Fashion","gold3288gold","Dustin Waterfall","1766.58","1059.95","0.4",12719,,"9",,"2","0.0224","Active",1766.58,1059.95,
"Microsoft Surface Pen for Surface 3 & Pro 3 3UY-00001 Silver Red Black Blue","201503539003","http://ebay.com/itm/201503539003","Refurbished","Electronics","thegoodblokes","Brian Block","","15.99","",11913,,"2",,"80","0.0533","This item is out of stock.","","",""
"Samsung Galaxy S5 16GB SM-G900A (4G FACTORY GSM UNLOCKED) (B)","141415869256","http://ebay.com/itm/141415869256","Refurbished","Electronics","chubbiestech","Scott Lacharite","599.99","184.99","0.6899999999999999",11839,,"103",,"60","0.047","This item is out of stock.","","",""
"DJI Phantom 3 Standard RC Drone QuadCopter W 2.7K HD Camera & 3-Axis Gimbal GPS","191666606082","http://ebay.com/itm/191666606082","New","Collectibles","rcsuperstore","Garrison Ramoso","799","499","0.38",11477,,"174",,"22","0.0068","Active",,499,
"HP 15-f337wm 15.6"" Touchscreen laptop Quad-Core A8 500Gb 4Gb Win10","272080367600","http://ebay.com/itm/272080367600","Refurbished","Electronics","digjungle","Scott Lacharite","","269.99","",11340,,"109",,"42","0.0487","This item is out of stock.","","",""
"Black Touch Screen Digitizer + LCD Display Assembly for iPhone 5C Replacement US","401031962870","http://ebay.com/itm/401031962870","New","Electronics","gameinfinity","Bryan Bellew","","42.39","",11106,,"13",,"179","0.0338","Active",,42.95,
"Microsoft - Surface Pro 4 - 12.3"" - 512GB - Intel Core i7 - Silver","281886275788","http://ebay.com/itm/281886275788","New","Electronics","targetstores","Mary Hubbard","","2199","",10995,,"44",,"5","0.0303","This item is out of stock.","","",""
"Microsoft Sculpt Ergonomic Desktop (L5V-00001)","231615840612","http://ebay.com/itm/231615840612","New","Electronics","tigerdirect","David Grim","","44.99","",10033,,"36",,"188","0.0867","This listing was ended by the seller because the item is no longer available.","","",""
"52"" Deluxe Massage Walk In Acrylic Shell Bathtub Tub Jazuzzi Hydro Senior Safty","311484373193","http://ebay.com/itm/311484373193","New","Home & Garden","vidagoods","Andy Gallup","","1924.45","",9622,,"30",,"1","0.0264","Active",,3499,
"iRobot Roomba 880 - Black - Robotic Vacuum Cleaner","301380516726","http://ebay.com/itm/301380516726","New","Home & Garden","consumerelectronicscostsavers","Stacey Bartholoma","","599.99","",9600,,"95",,"16","0.0155","Active",,599.99,
"Lenovo X1 Carbon 14"" Notebook - Customized","172003278294","http://ebay.com/itm/172003278294","Refurbished","Electronics","efxdigital","Jason Chin","2400","549.99","0.77",9350,,"196",,"17","0.0315","Active",,539.99,
"OEM Original White Touch Digitizer LCD Screen Assembly for iPhone 6 Replacement","331464300495","http://ebay.com/itm/331464300495","New","Electronics","dazzlegames","Bryan Bellew","50","77.48999999999999","-0.55",9299,,"13",,"88","0.0311","Active",,79.95,
"4 NEW LT31X10.50-15 NANKANG N889 MUDSTAR MUD 1050R R15 TIRES LR C","361417357989","http://ebay.com/itm/361417357989","New","Parts & Accessories","discounttiredirect","Todd Elledge","","460","",9200,,"66",,"19","0.0131","Active",,540,
"Apple iPad 4th Generation 16GB Wi-Fi 9.7in - Black (with Engraving)","121449818560","http://ebay.com/itm/121449818560","Refurbished","Electronics","tekreplay","Jana Marcy","499","239.99","0.52",9120,,"111",,"31","0.0527","This item is out of stock.","","",""
"T-Shirt Heat Transfer Press Sublimation Machine","301676981805","http://ebay.com/itm/301676981805","New","Business & Industrial","assortedtools","Laura Kelleher","","116.59","",9094,,"35",,"77","0.0176","Active",459.99,116.59,
"LG 65UF8500 65"" Full 3D UHD IPS LED Internet TV","181723195385","http://ebay.com/itm/181723195385","New","Electronics","ielectrica","David Grim","2999.99","1779.52","0.41",8898,,"81",,"3","0.0495","Active",2999.99,1749.52,
